,var,KS2samp_Fstat,KS2samp_pvalue,WassersteinDist,P,Q,n_clusters,pivotLength
0,PRICE,0.266198630137,0.0,32713.4737329,1.0,0.0,4.0,24.0
1,PRICE,0.208652968037,1.27881592467e-304,12359.1406383,1.0,0.0,4.0,40.0
2,PRICE,0.272317351598,0.0,15236.1489557,1.0,0.0,4.0,60.0
3,PRICE,0.242682648402,0.0,13549.8679792,1.0,0.0,4.0,73.0
4,PRICE,0.158789954338,7.09304328582e-176,12885.7205347,1.0,0.0,4.0,120.0
5,PRICE,0.234874429224,0.0,13307.4749382,1.0,0.0,8.0,24.0
6,PRICE,0.171038812785,3.59340466994e-204,9491.10220825,1.0,0.0,8.0,40.0
7,PRICE,0.180993150685,9.33759794375e-229,10258.7199618,1.0,0.0,8.0,60.0
8,PRICE,0.172865296804,1.41744950737e-208,22100.5450982,1.0,0.0,8.0,73.0
9,PRICE,0.134965753425,5.54318550906e-127,9605.24225274,1.0,0.0,8.0,120.0
10,PRICE,0.153515981735,2.35351406533e-164,12106.9835312,1.0,0.0,12.0,24.0
11,PRICE,0.153801369863,5.73413441566e-165,13733.2714804,1.0,0.0,12.0,40.0
12,PRICE,0.154965753425,1.75530855083e-167,10899.4243743,1.0,0.0,12.0,60.0
13,PRICE,0.150627853881,3.25358790035e-158,18271.6245554,1.0,0.0,12.0,73.0
14,PRICE,0.146974885845,1.28458943032e-150,7946.24088134,1.0,0.0,12.0,120.0
15,PRICE,0.139086757991,7.31472650916e-135,8080.76085805,1.0,0.0,16.0,24.0
16,PRICE,0.115878995434,1.26986445871e-93,6619.83263934,1.0,0.0,16.0,40.0
17,PRICE,0.147442922374,1.39990454624e-151,9596.6956736,1.0,0.0,16.0,60.0
18,PRICE,0.149372146119,1.3966371234e-155,9732.14904045,1.0,0.0,16.0,73.0
19,PRICE,0.083595890411,7.27442831525e-49,5625.1383094,1.0,0.0,16.0,120.0
20,PRICE,0.246050228311,0.0,43341.7403805,1.0,1.0,4.0,24.0
21,PRICE,0.209257990868,2.10113628479e-306,12181.9243696,1.0,1.0,4.0,40.0
22,PRICE,0.217557077626,0.0,12351.054752,1.0,1.0,4.0,60.0
23,PRICE,0.228664383562,0.0,12873.1673355,1.0,1.0,4.0,73.0
24,PRICE,0.142796803653,3.66545333723e-142,9126.54887102,1.0,1.0,4.0,120.0
25,PRICE,0.219817351598,0.0,18835.7652171,1.0,1.0,8.0,24.0
26,PRICE,0.122888127854,2.82550302434e-105,6914.3725056,1.0,1.0,8.0,40.0
27,PRICE,0.139326484018,2.50271411864e-135,8385.20695482,1.0,1.0,8.0,60.0
28,PRICE,0.14102739726,1.17516445611e-138,11019.9523391,1.0,1.0,8.0,73.0
29,PRICE,0.169029680365,2.21022298549e-199,8685.92372311,1.0,1.0,8.0,120.0
30,PRICE,0.196438356164,9.62130412983e-270,9092.92881975,1.0,1.0,12.0,24.0
31,PRICE,0.138938356164,1.41949331593e-134,9591.56292714,1.0,1.0,12.0,40.0
32,PRICE,0.149885844749,1.17700821614e-156,10912.462506,1.0,1.0,12.0,60.0
33,PRICE,0.155079908676,9.92724716131e-168,8959.15645781,1.0,1.0,12.0,73.0
34,PRICE,0.119394977169,2.21335640836e-99,8747.21355157,1.0,1.0,12.0,120.0
35,PRICE,0.145091324201,8.94058163088e-147,9016.07438387,1.0,1.0,16.0,24.0
36,PRICE,0.13095890411,1.4933548155e-119,7983.03200764,1.0,1.0,16.0,40.0
37,PRICE,0.148367579909,1.7181929682e-153,10344.0712967,1.0,1.0,16.0,60.0
38,PRICE,0.129748858447,2.36264829265e-117,9500.34670575,1.0,1.0,16.0,73.0
39,PRICE,0.0778310502283,2.08657328991e-42,5240.05670614,1.0,1.0,16.0,120.0
40,PRICE,0.214805936073,0.0,13786.6291911,1.0,2.0,4.0,24.0
41,PRICE,0.207557077626,2.11425804526e-301,12275.3549691,1.0,2.0,4.0,40.0
42,PRICE,0.2124543379,6.40285806518e-316,21029.8972013,1.0,2.0,4.0,60.0
43,PRICE,0.241997716895,0.0,13521.5026376,1.0,2.0,4.0,73.0
44,PRICE,0.1525456621,2.80583604883e-162,7608.29039154,1.0,2.0,4.0,120.0
45,PRICE,0.187842465753,1.66604434216e-246,20256.7977921,1.0,2.0,8.0,24.0
46,PRICE,0.149349315068,1.55863022062e-155,12392.1015381,1.0,2.0,8.0,40.0
47,PRICE,0.148561643836,6.79900377627e-154,18180.9237055,1.0,2.0,8.0,60.0
48,PRICE,0.172168949772,6.85802903736e-207,10252.2235686,1.0,2.0,8.0,73.0
49,PRICE,0.205296803653,8.07879083377e-295,10435.5533257,1.0,2.0,8.0,120.0
50,PRICE,0.15852739726,2.71515008918e-175,10191.0188864,1.0,2.0,12.0,24.0
51,PRICE,0.128344748858,7.93177010166e-115,7868.48788993,1.0,2.0,12.0,40.0
52,PRICE,0.137716894977,3.23730513102e-132,7734.11832823,1.0,2.0,12.0,60.0
53,PRICE,0.154178082192,8.85518736652e-166,9515.60936927,1.0,2.0,12.0,73.0
54,PRICE,0.153082191781,2.00275215711e-163,8982.56103719,1.0,2.0,12.0,120.0
55,PRICE,0.161267123288,2.00505013693e-181,14318.3615899,1.0,2.0,16.0,24.0
56,PRICE,0.108333333333,7.49701725426e-82,8284.11733904,1.0,2.0,16.0,40.0
57,PRICE,0.166780821918,4.32428753045e-194,10886.3049445,1.0,2.0,16.0,60.0
58,PRICE,0.118493150685,6.89823060312e-98,10622.3618789,1.0,2.0,16.0,73.0
59,PRICE,0.101210045662,1.7897705913e-71,7526.0069159,1.0,2.0,16.0,120.0
60,PRICE,0.244326484018,0.0,15397.7396471,1.0,3.0,4.0,24.0
61,PRICE,0.1925,5.80491376655e-259,11604.364014,1.0,3.0,4.0,40.0
62,PRICE,0.161609589041,3.37369301029e-182,17997.6556549,1.0,3.0,4.0,60.0
63,PRICE,0.165422374429,6.26732863831e-191,7298.61652225,1.0,3.0,4.0,73.0
64,PRICE,0.200993150685,1.71056838565e-282,25659.8153156,1.0,3.0,4.0,120.0
65,PRICE,0.1724543379,1.4015115635e-207,12273.8618588,1.0,3.0,8.0,24.0
66,PRICE,0.128105022831,2.12738445258e-114,10728.8293321,1.0,3.0,8.0,40.0
67,PRICE,0.22002283105,0.0,30788.3183516,1.0,3.0,8.0,60.0
68,PRICE,0.177762557078,1.27627884443e-220,18882.8247544,1.0,3.0,8.0,73.0
69,PRICE,0.146084474886,8.54206630263e-149,10229.1527803,1.0,3.0,8.0,120.0
70,PRICE,0.141438356164,1.81876510478e-139,13182.3308353,1.0,3.0,12.0,24.0
71,PRICE,0.121666666667,3.40120044348e-103,7536.03282502,1.0,3.0,12.0,40.0
72,PRICE,0.133070776256,1.93287912459e-123,14939.6016992,1.0,3.0,12.0,60.0
73,PRICE,0.0938584474886,1.64836571871e-61,6619.00942612,1.0,3.0,12.0,73.0
74,PRICE,0.149200913242,3.17942622645e-155,9130.3899913,1.0,3.0,12.0,120.0
75,PRICE,0.143835616438,3.05521857725e-144,13004.4255999,1.0,3.0,16.0,24.0
76,PRICE,0.108573059361,3.2601407649e-82,6612.23220528,1.0,3.0,16.0,40.0
77,PRICE,0.139178082192,4.86241158435e-135,10985.0365342,1.0,3.0,16.0,60.0
78,PRICE,0.127602739726,1.67097241489e-113,6770.93321472,1.0,3.0,16.0,73.0
79,PRICE,0.103710045662,4.91678875979e-75,6976.58967678,1.0,3.0,16.0,120.0
80,PRICE,0.256369863014,0.0,31826.5254586,2.0,0.0,4.0,24.0
81,PRICE,0.217385844749,0.0,12972.1681596,2.0,0.0,4.0,40.0
82,PRICE,0.215605022831,0.0,12444.1024637,2.0,0.0,4.0,60.0
83,PRICE,0.211609589041,2.16744107465e-313,12295.7921501,2.0,0.0,4.0,73.0
84,PRICE,0.208150684932,3.83772589255e-303,10795.0032651,2.0,0.0,4.0,120.0
85,PRICE,0.218550228311,0.0,11904.2445618,2.0,0.0,8.0,24.0
86,PRICE,0.169440639269,2.34210900386e-200,24101.9867736,2.0,0.0,8.0,40.0
87,PRICE,0.176529680365,1.48247375481e-217,9792.86163924,2.0,0.0,8.0,60.0
88,PRICE,0.146552511416,9.43697869155e-150,12425.4706253,2.0,0.0,8.0,73.0
89,PRICE,0.129520547945,6.10977578079e-117,12384.2158521,2.0,0.0,8.0,120.0
90,PRICE,0.138789954338,2.75268097912e-134,5912.09522893,2.0,0.0,12.0,24.0
91,PRICE,0.156152968037,4.5813325458e-170,8713.35548279,2.0,0.0,12.0,40.0
92,PRICE,0.134497716895,4.20178782651e-126,10724.0188333,2.0,0.0,12.0,60.0
93,PRICE,0.154246575342,6.30196912082e-166,9878.38553222,2.0,0.0,12.0,73.0
94,PRICE,0.141438356164,1.81876510478e-139,10712.2571806,2.0,0.0,12.0,120.0
95,PRICE,0.111598173516,7.5875568421e-87,6454.16135659,2.0,0.0,16.0,24.0
96,PRICE,0.145936073059,1.71500339375e-148,7720.66134413,2.0,0.0,16.0,40.0
97,PRICE,0.148607305936,5.46552122801e-154,8944.02895551,2.0,0.0,16.0,60.0
98,PRICE,0.105970319635,2.49192371174e-78,9927.53589041,2.0,0.0,16.0,73.0
99,PRICE,0.119178082192,5.073875147e-99,7448.14462436,2.0,0.0,16.0,120.0
100,PRICE,0.230764840183,0.0,41385.7481786,2.0,1.0,4.0,24.0
101,PRICE,0.203984018265,4.96534907196e-291,15413.5593719,2.0,1.0,4.0,40.0
102,PRICE,0.26899543379,0.0,15294.3898037,2.0,1.0,4.0,60.0
103,PRICE,0.199942922374,1.58450070176e-279,12501.9434079,2.0,1.0,4.0,73.0
104,PRICE,0.173333333333,1.03573295305e-209,7517.70254393,2.0,1.0,4.0,120.0
105,PRICE,0.191415525114,4.92831046346e-256,8279.26156073,2.0,1.0,8.0,24.0
106,PRICE,0.161632420091,2.99532864784e-182,11184.6504592,2.0,1.0,8.0,40.0
107,PRICE,0.190410958904,2.45767373736e-253,21383.8216786,2.0,1.0,8.0,60.0
108,PRICE,0.184372146119,1.9918210444e-237,17852.6581767,2.0,1.0,8.0,73.0
109,PRICE,0.133321917808,6.60160461949e-124,13310.697692,2.0,1.0,8.0,120.0
110,PRICE,0.188047945205,4.77221268006e-247,9751.52892531,2.0,1.0,12.0,24.0
111,PRICE,0.111038812785,5.57818575487e-86,5220.15198563,2.0,1.0,12.0,40.0
112,PRICE,0.179440639269,7.9214563337e-225,14757.4616386,2.0,1.0,12.0,60.0
113,PRICE,0.149657534247,3.53763121777e-156,14321.3332879,2.0,1.0,12.0,73.0
114,PRICE,0.140194063927,5.08023825387e-137,8778.34424975,2.0,1.0,12.0,120.0
115,PRICE,0.166061643836,2.05482899743e-192,11473.3569021,2.0,1.0,16.0,24.0
116,PRICE,0.122831050228,3.53823121804e-105,7314.46882368,2.0,1.0,16.0,40.0
117,PRICE,0.154337899543,4.00322523094e-166,12512.5243176,2.0,1.0,16.0,60.0
118,PRICE,0.114657534247,1.15765635556e-91,10177.7369581,2.0,1.0,16.0,73.0
119,PRICE,0.111221461187,2.91121127317e-86,6771.25373053,2.0,1.0,16.0,120.0
120,PRICE,0.261609589041,0.0,16554.4437245,2.0,2.0,4.0,24.0
121,PRICE,0.210251141553,2.40857223773e-309,12506.6709267,2.0,2.0,4.0,40.0
122,PRICE,0.260719178082,0.0,32014.8474698,2.0,2.0,4.0,60.0
123,PRICE,0.173184931507,2.37611287766e-209,10806.0195849,2.0,2.0,4.0,73.0
124,PRICE,0.179840182648,7.78227486262e-226,8718.89761207,2.0,2.0,4.0,120.0
125,PRICE,0.195479452055,4.25483158685e-267,12804.1982151,2.0,2.0,8.0,24.0
126,PRICE,0.152442922374,4.64647410977e-162,20189.5954731,2.0,2.0,8.0,40.0
127,PRICE,0.197214611872,6.78729063109e-272,14217.8142465,2.0,2.0,8.0,60.0
128,PRICE,0.148184931507,4.10699646808e-153,14800.0476308,2.0,2.0,8.0,73.0
129,PRICE,0.156244292237,2.89359008831e-170,9573.75018381,2.0,2.0,8.0,120.0
130,PRICE,0.207853881279,2.85274253319e-302,13817.0766417,2.0,2.0,12.0,24.0
131,PRICE,0.137659817352,4.1673016119e-132,6649.05021021,2.0,2.0,12.0,40.0
132,PRICE,0.161164383562,3.41982091425e-181,9746.63008395,2.0,2.0,12.0,60.0
133,PRICE,0.139292237443,2.91744172795e-135,14013.4407622,2.0,2.0,12.0,73.0
134,PRICE,0.151438356164,6.32580793737e-160,8089.36533997,2.0,2.0,12.0,120.0
135,PRICE,0.192922374429,4.15369500942e-260,17739.9218504,2.0,2.0,16.0,24.0
136,PRICE,0.122819634703,3.70099737536e-105,10067.4822476,2.0,2.0,16.0,40.0
137,PRICE,0.146301369863,3.08026539057e-149,11614.259327,2.0,2.0,16.0,60.0
138,PRICE,0.139121004566,6.276348954e-135,9785.17404722,2.0,2.0,16.0,73.0
139,PRICE,0.0961872146119,1.38872319906e-64,7117.01774491,2.0,2.0,16.0,120.0
140,PRICE,0.262363013699,0.0,16542.9053268,2.0,3.0,4.0,24.0
141,PRICE,0.192648401826,2.29968032366e-259,11628.6489821,2.0,3.0,4.0,40.0
142,PRICE,0.247157534247,0.0,13438.3438532,2.0,3.0,4.0,60.0
143,PRICE,0.236232876712,0.0,12903.3718867,2.0,3.0,4.0,73.0
144,PRICE,0.197317351598,3.5178341682e-272,10649.6028634,2.0,3.0,4.0,120.0
145,PRICE,0.197271689498,4.71138063518e-272,11483.4006525,2.0,3.0,8.0,24.0
146,PRICE,0.212328767123,1.52424965117e-315,11749.3103752,2.0,3.0,8.0,40.0
147,PRICE,0.18654109589,4.42837698203e-243,21324.7276232,2.0,3.0,8.0,60.0
148,PRICE,0.150764840183,1.67415620482e-158,9507.4241526,2.0,3.0,8.0,73.0
149,PRICE,0.114292237443,4.4219449129e-91,8129.7871985,2.0,3.0,8.0,120.0
150,PRICE,0.186164383562,4.29514410602e-242,18328.7539394,2.0,3.0,12.0,24.0
151,PRICE,0.152694063927,1.35323882665e-162,8995.86675485,2.0,3.0,12.0,40.0
152,PRICE,0.140273972603,3.54368945347e-137,9762.77320156,2.0,3.0,12.0,60.0
153,PRICE,0.121894977169,1.39427106787e-103,5829.71119354,2.0,3.0,12.0,73.0
154,PRICE,0.114817351598,6.43204497419e-92,7617.02908357,2.0,3.0,12.0,120.0
155,PRICE,0.166632420091,9.60598566061e-194,13907.7092931,2.0,3.0,16.0,24.0
156,PRICE,0.13247716895,2.42895297044e-122,8018.87383431,2.0,3.0,16.0,40.0
157,PRICE,0.156940639269,8.6279878205e-172,9434.26652335,2.0,3.0,16.0,60.0
158,PRICE,0.146152968037,6.19082505021e-149,8435.52064907,2.0,3.0,16.0,73.0
159,PRICE,0.0646803652968,2.07328459464e-29,6355.27237633,2.0,3.0,16.0,120.0
160,PRICE,0.306803652968,0.0,52907.1670376,3.0,0.0,4.0,24.0
161,PRICE,0.219714611872,0.0,13286.983616,3.0,0.0,4.0,40.0
162,PRICE,0.180422374429,2.62188727518e-227,13169.7125704,3.0,0.0,4.0,60.0
163,PRICE,0.155479452055,1.34594027119e-168,9256.64079619,3.0,0.0,4.0,73.0
164,PRICE,0.165799086758,8.3774507133e-192,12993.2198821,3.0,0.0,4.0,120.0
165,PRICE,0.200319634703,1.37273203645e-280,12227.2356147,3.0,0.0,8.0,24.0
166,PRICE,0.172408675799,1.80722384618e-207,15175.5484382,3.0,0.0,8.0,40.0
167,PRICE,0.1575456621,4.0255013779e-173,10369.7304904,3.0,0.0,8.0,60.0
168,PRICE,0.153082191781,2.00275215711e-163,7720.55848434,3.0,0.0,8.0,73.0
169,PRICE,0.137066210046,5.72394637573e-131,6810.31083461,3.0,0.0,8.0,120.0
170,PRICE,0.129200913242,2.30389527607e-116,6488.7676549,3.0,0.0,12.0,24.0
171,PRICE,0.17203196347,1.46822249919e-206,13770.8626115,3.0,0.0,12.0,40.0
172,PRICE,0.129623287671,3.98505913434e-117,8678.25801313,3.0,0.0,12.0,60.0
173,PRICE,0.143595890411,9.2511063562e-144,7698.1027704,3.0,0.0,12.0,73.0
174,PRICE,0.151221461187,1.8195910034e-159,7524.63702062,3.0,0.0,12.0,120.0
175,PRICE,0.111735159817,4.6478661646e-87,7613.06811219,3.0,0.0,16.0,24.0
176,PRICE,0.143801369863,3.57954852625e-144,8935.00636008,3.0,0.0,16.0,40.0
177,PRICE,0.12651826484,1.39141051799e-111,6924.94545909,3.0,0.0,16.0,60.0
178,PRICE,0.129611872146,4.17891284582e-117,7415.56163044,3.0,0.0,16.0,73.0
179,PRICE,0.140365296804,2.3473034069e-137,7885.84283173,3.0,0.0,16.0,120.0
180,PRICE,0.253915525114,0.0,44828.7595004,3.0,1.0,4.0,24.0
181,PRICE,0.207648401826,1.14191976266e-301,12453.8340907,3.0,1.0,4.0,40.0
182,PRICE,0.178333333333,4.78091771437e-222,16196.8670644,3.0,1.0,4.0,60.0
183,PRICE,0.188767123288,5.93619446646e-249,14036.8855949,3.0,1.0,4.0,73.0
184,PRICE,0.183116438356,3.47439441703e-234,11484.5624804,3.0,1.0,4.0,120.0
185,PRICE,0.138196347032,3.86472917152e-133,10407.8258951,3.0,1.0,8.0,24.0
186,PRICE,0.144349315068,2.82650876975e-145,10693.5735923,3.0,1.0,8.0,40.0
187,PRICE,0.16950913242,1.61027265888e-200,12468.6581011,3.0,1.0,8.0,60.0
188,PRICE,0.168652968037,1.72145430602e-198,16131.9355699,3.0,1.0,8.0,73.0
189,PRICE,0.159086757991,1.55111712063e-176,8232.74088911,3.0,1.0,8.0,120.0
190,PRICE,0.136278538813,1.81887731615e-129,11210.0004547,3.0,1.0,12.0,24.0
191,PRICE,0.12703196347,1.72117168254e-112,7083.18684108,3.0,1.0,12.0,40.0
192,PRICE,0.173173515982,2.53275899453e-209,12864.5792447,3.0,1.0,12.0,60.0
193,PRICE,0.19203196347,1.07138910126e-257,14582.9762709,3.0,1.0,12.0,73.0
194,PRICE,0.117271689498,6.97509623676e-96,11260.1317864,3.0,1.0,12.0,120.0
195,PRICE,0.110924657534,8.37079515657e-86,11033.9974858,3.0,1.0,16.0,24.0
196,PRICE,0.122134703196,5.45639929112e-104,6409.14676854,3.0,1.0,16.0,40.0
197,PRICE,0.149817351598,1.63771176014e-156,9240.91737798,3.0,1.0,16.0,60.0
198,PRICE,0.117888127854,6.82974108735e-97,10140.0790856,3.0,1.0,16.0,73.0
199,PRICE,0.112933789954,6.21681583848e-89,8813.71691941,3.0,1.0,16.0,120.0
200,PRICE,0.245114155251,0.0,13041.9836387,3.0,2.0,4.0,24.0
201,PRICE,0.212420091324,8.11200880015e-316,12623.8304431,3.0,2.0,4.0,40.0
202,PRICE,0.223093607306,0.0,13267.8737998,3.0,2.0,4.0,60.0
203,PRICE,0.224429223744,0.0,12737.1083858,3.0,2.0,4.0,73.0
204,PRICE,0.191415525114,4.92831046346e-256,17607.5250736,3.0,2.0,4.0,120.0
205,PRICE,0.237420091324,0.0,22198.6747755,3.0,2.0,8.0,24.0
206,PRICE,0.170742009132,1.84764523849e-203,12667.3542508,3.0,2.0,8.0,40.0
207,PRICE,0.166666666667,7.99059437718e-194,12442.5522347,3.0,2.0,8.0,60.0
208,PRICE,0.207305936073,1.1487180048e-300,11367.6713946,3.0,2.0,8.0,73.0
209,PRICE,0.175228310502,2.41271873625e-214,8654.48488252,3.0,2.0,8.0,120.0
210,PRICE,0.184132420091,8.31516763055e-237,7782.32140913,3.0,2.0,12.0,24.0
211,PRICE,0.140068493151,8.94369319318e-137,7003.49379101,3.0,2.0,12.0,40.0
212,PRICE,0.143869863014,2.60759195247e-144,11203.2757238,3.0,2.0,12.0,60.0
213,PRICE,0.169691780822,5.92491759093e-201,10461.8323408,3.0,2.0,12.0,73.0
214,PRICE,0.10303652968,4.56772106228e-74,5988.01823521,3.0,2.0,12.0,120.0
215,PRICE,0.169566210046,1.17830610763e-200,12582.9469415,3.0,2.0,16.0,24.0
216,PRICE,0.131232876712,4.71351441345e-120,6873.59671088,3.0,2.0,16.0,40.0
217,PRICE,0.124166666667,1.78144940417e-107,13757.1979546,3.0,2.0,16.0,60.0
218,PRICE,0.131221461187,4.9457650619e-120,8687.82834015,3.0,2.0,16.0,73.0
219,PRICE,0.122899543379,2.70117157043e-105,7254.15496065,3.0,2.0,16.0,120.0
220,PRICE,0.220673515982,0.0,13153.5743501,3.0,3.0,4.0,40.0
221,PRICE,0.221130136986,0.0,11765.0118243,3.0,3.0,4.0,60.0
222,PRICE,0.230867579909,0.0,13020.4557829,3.0,3.0,4.0,73.0
223,PRICE,0.233618721461,0.0,13069.5325652,3.0,3.0,4.0,120.0
224,PRICE,0.17200913242,1.66672656366e-206,10089.3250767,3.0,3.0,8.0,40.0
225,PRICE,0.168984018265,2.83530951622e-199,11478.8090945,3.0,3.0,8.0,60.0
226,PRICE,0.178470319635,2.17003497546e-222,9780.32146632,3.0,3.0,8.0,73.0
227,PRICE,0.205696347032,5.61409572383e-296,12051.0661225,3.0,3.0,8.0,120.0
228,PRICE,0.148059360731,7.47196020692e-153,7410.06083406,3.0,3.0,12.0,40.0
229,PRICE,0.134657534247,2.10574886227e-126,14885.0101236,3.0,3.0,12.0,60.0
230,PRICE,0.149155251142,3.9586659886e-155,8122.69378303,3.0,3.0,12.0,73.0
231,PRICE,0.164589041096,5.2865522513e-189,9307.32997974,3.0,3.0,12.0,120.0
232,PRICE,0.159406392694,3.00789263025e-177,10543.0789678,3.0,3.0,16.0,40.0
233,PRICE,0.143333333333,3.10621119465e-143,15515.5033887,3.0,3.0,16.0,60.0
234,PRICE,0.12696347032,2.27539723911e-112,7065.10291246,3.0,3.0,16.0,73.0
235,PRICE,0.121107305936,3.00172952143e-102,8219.70968982,3.0,3.0,16.0,120.0
